Year,Month,Day,Hour,Count
2014,3,12,18,1
2014,3,13,12,2
2014,3,13,13,5
2014,3,13,14,1
2014,3,14,18,1
2014,3,15,11,2
2014,3,15,14,1
2014,3,16,9,1
2014,3,16,10,4
2014,3,16,11,2
2014,3,16,16,1
2014,3,16,18,2
2014,3,18,17,1
2014,3,19,1,1
2014,3,19,12,1
2014,3,19,14,1
2014,3,19,19,2
2014,3,22,14,1
2014,3,23,15,2
2014,3,24,18,2
2014,3,25,17,2
2014,3,25,19,1
2014,3,26,19,1
2014,3,27,11,1
2014,3,27,16,1
2014,3,27,17,1
2014,3,28,13,1
2014,3,29,17,1
2014,3,29,19,1
2014,3,30,10,3
2014,3,30,15,1
2014,3,30,17,1
2014,3,30,18,1
2014,3,31,11,2
2014,3,31,18,2
2014,4,1,11,1
2014,4,1,12,1
2014,4,1,17,1
2014,4,1,18,1
2014,4,2,16,3
2014,4,2,19,1
2014,4,3,9,1
2014,4,3,18,1
2014,4,4,16,1
2014,4,4,17,3
2014,4,5,9,1
2014,4,5,11,1
2014,4,5,16,1
2014,4,5,18,2
2014,4,6,10,2
2014,4,6,13,1
2014,4,6,18,2
2014,4,7,12,1
2014,4,7,18,1
2014,4,8,13,1
2014,4,8,16,1
2014,4,8,17,1
2014,4,9,16,1
2014,4,9,17,2
2014,4,9,18,1
2014,4,10,12,1
2014,4,10,14,4
2014,4,10,15,2
2014,4,10,18,1
2014,4,11,13,1
2014,4,11,17,4
2014,4,12,10,2
2014,4,12,14,1
2014,4,12,17,1
2014,4,13,8,1
2014,4,13,16,1
2014,4,13,17,1
2014,4,14,0,1
2014,4,14,11,1
2014,4,14,17,1
2014,4,15,15,2
2014,4,15,17,1
2014,4,15,18,1
2014,4,16,11,1
2014,4,16,17,1
2014,4,16,18,1
2014,4,17,12,1
2014,4,17,19,1
2014,4,18,7,1
2014,4,18,14,3
2014,4,18,16,1
2014,4,19,9,1
2014,4,19,10,1
2014,4,19,12,1
2014,4,19,17,5
2014,4,20,18,1
2014,4,21,9,1
2014,4,21,13,3
2014,4,21,15,1
2014,4,21,17,1
2014,4,22,16,2
2014,4,22,17,2
2014,4,23,17,2
2014,4,23,18,1
2014,4,24,12,2
2014,4,25,13,1
2014,4,25,14,1
2014,4,26,10,1
2014,4,26,13,1
2014,4,26,15,3
2014,4,27,8,1
2014,4,28,14,1
2014,4,28,15,1
2014,4,28,17,1
2014,4,29,10,1
2014,4,29,13,1
2014,4,29,17,2
2014,4,29,18,2
2014,4,30,18,3
2014,5,1,14,1
2014,5,2,7,1
2014,5,2,8,1
2014,5,3,15,2
2014,5,3,16,2
2014,5,4,12,1
2014,5,4,14,2
2014,5,4,15,1
2014,5,4,16,1
2014,5,5,17,1
2014,5,6,16,1
2014,5,9,12,1
2014,5,9,17,1
2014,5,10,9,1
2014,5,10,10,1
2014,5,10,13,2
2014,5,11,10,1
2014,5,11,11,1
2014,5,13,15,1
2014,5,14,12,1
2014,5,15,13,1
2014,5,15,18,1
2014,5,16,13,2
2014,5,17,15,1
2014,5,17,17,1
2014,5,18,11,1
2014,5,18,13,2
2014,5,18,17,1
2014,5,19,10,3
2014,5,19,23,1
2014,5,20,14,2
2014,5,21,13,1
2014,5,22,14,1
2014,5,22,17,1
2014,5,24,12,1
2014,5,24,18,1
2014,5,25,15,2
2014,5,25,16,3
2014,5,25,17,1
2014,5,26,15,1
2014,5,26,17,1
2014,5,27,12,2
2014,5,28,11,1
2014,5,28,12,1
2014,5,29,12,2
2014,5,29,13,2
2014,5,29,14,1
2014,5,29,16,1
2014,5,29,17,4
2014,5,29,18,1
2014,5,30,14,1
2014,5,30,17,1
2014,5,31,11,1
2014,5,31,12,1
2014,5,31,17,2
2014,6,1,16,2
2014,6,1,17,3
2014,6,2,15,5
2014,6,2,16,5
2014,6,2,17,2
2014,6,3,17,1
2014,6,5,11,1
2014,6,5,12,2
2014,6,6,13,1
2014,6,7,17,1
2014,6,8,17,3
2014,6,9,12,2
2014,6,9,16,1
2014,6,11,14,1
2014,6,11,16,1
2014,6,11,17,3
2014,6,11,19,2
2014,6,12,17,1
2014,6,13,16,2
2014,6,14,14,2
2014,6,14,17,1
2014,6,15,12,2
2014,6,15,17,1
2014,6,15,18,1
2014,6,15,22,1
2014,6,16,13,1
2014,6,16,17,1
2014,6,17,17,1
2014,6,17,18,1
2014,6,18,21,2
2014,6,20,11,2
2014,6,20,16,1
2014,6,21,11,1
2014,6,21,16,1
2014,6,21,17,1
2014,6,22,11,1
2014,6,22,13,3
2014,6,22,17,1
2014,6,23,13,1
2014,6,23,17,1
2014,6,23,18,1
2014,6,25,16,2
2014,6,26,13,1
